,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,popularity
Eve 6,0.5033,0.8000999999999999,0.5705,130.28159999999997,0.020330640000000004,0.00010155400000000001,0.04128,0.2211,51
Shovels & Rope,0.5279999999999999,0.5706200000000001,0.40790000000000004,114.35110000000002,0.3967300000000001,5.4740000000000004e-06,0.07585,0.22844000000000003,46
DJ Paul,0.7452,0.8126000000000001,0.39560000000000006,147.0931,0.209429,0.36499442000000004,0.18398000000000003,0.23315999999999998,56
Lionel Loueke,0.613,0.37161,0.5713,116.7876,0.7402299999999999,0.4960357,0.05612999999999999,0.14093000000000003,32
Ho - Kago Tea Time,0.5418999999999999,0.9285999999999998,0.6843000000000001,139.7983,0.096472,0.003043118,0.060129999999999996,0.17507,45
Ensemble Plus Ultra,0.14184000000000002,0.08739,0.05634999999999999,99.5592,0.9861000000000001,0.17758600000000002,0.04324000000000001,0.09287,18
WD,0.7545,0.5947,0.7123999999999999,116.93209999999999,0.34026999999999996,4.42e-07,0.12423000000000002,0.17361999999999997,28
Imran Mwangi,0.7968,0.5534000000000001,0.4599100000000001,123.30929999999998,0.35389600000000004,0.57652,0.07776999999999999,0.09728,0
_91nova,0.7573999999999999,0.4346,0.37810000000000005,124.4913,0.20972,0.7875,0.07586999999999999,0.20250000000000004,37
Yoga at the Disco,0.6787,0.29780000000000006,0.48199999999999993,81.78380000000001,0.5599999999999999,0.8745999999999998,0.09534,0.09690999999999998,42
Junii,0.6293,0.5214000000000001,0.6721999999999999,98.15059999999998,0.5905,0.00273109,0.30080000000000007,0.22786999999999996,28
Siskin,0.5709,0.8859999999999999,0.07682,124.40469999999998,0.01285558,0.564233,0.048159999999999994,0.25390000000000007,30
Monie Love,0.8263999999999999,0.6902,0.7055,114.4727,0.0263455,0.039145682,0.10863,0.17270000000000002,35
Mark Harrison,0.5856000000000001,0.4377000000000001,0.5447,107.4743,0.5866,0.092039718,0.033460000000000004,0.14348999999999998,11
The Staves,0.49510000000000004,0.26663,0.22449000000000002,110.02069999999999,0.69285,0.0034002999999999998,0.03295,0.10867,50
Zaw Ali,0.5065,0.39736000000000005,0.4885,127.30120000000002,0.735,0.01339138,0.03807000000000001,0.16843,26
陳華,0.6039000000000001,0.5591999999999999,0.4042,132.28709999999998,0.44539999999999996,7.6316e-05,0.04059,0.17093,51
KURT,0.6849999999999999,0.5146999999999999,0.5216,123.3681,0.5113000000000001,7.351e-06,0.06282,0.13396999999999998,58
Son Uçurtma,0.5172000000000001,0.49400000000000005,0.26210000000000006,133.28339999999997,0.16322199999999998,0.048102900000000004,0.02904,0.1538,6
Bazzi,0.7173,0.6435,0.5037,125.2971,0.25839,7.090000000000001e-07,0.05325,0.16887000000000002,71
Mayra Andrade,0.7698999999999999,0.5248,0.6251999999999999,125.17720000000001,0.49809000000000003,0.13944925,0.13234,0.1,51
KingSfiso,0.7269,0.7463,0.44400000000000006,122.5042,0.054265246,0.5170399999999999,0.04469,0.09431999999999999,16
Vince Gill,0.5278999999999999,0.5096,0.38839999999999997,115.00079999999998,0.41944,0.011376179,0.04281,0.4152,60
Linda Fredriksson,0.40449999999999997,0.2797299999999999,0.23409,112.91299999999998,0.8844,0.6759999999999999,0.04165,0.14976000000000003,14
Massimo Faraò,0.541,0.19958000000000004,0.3911,112.12219999999999,0.7806,0.40321999999999997,0.04224,0.11794000000000002,40
Nappy Brown,0.595,0.4952000000000001,0.8425999999999998,139.47330000000002,0.7266,0.003263942,0.09555,0.17145000000000002,24
Nabeel Akbar,0.853,0.6231,0.5097,113.1407,0.29682,0.0,0.2811,0.21322000000000002,39
Sky Travis,0.0994,0.1453,0.048709999999999996,62.8797,0.46529999999999994,0.5633999999999999,0.059210000000000006,0.065,52
The Emotions,0.6981,0.5195,0.8112999999999999,111.07810000000002,0.37142,0.016638789999999997,0.038329999999999996,0.16248,62
Budapest Scoring Orchestra and Choir,0.15567,0.08518899999999999,0.03382,109.79189999999998,0.8639999999999999,0.78,0.041879999999999994,0.10475999999999999,12
Paul Bateman,0.19540000000000002,0.22550999999999996,0.10362,106.6279,0.7924690000000001,0.587804612,0.038349999999999995,0.09701,48
Arturo Coronel y el Buen Estilo,0.6269,0.5379999999999999,0.7661,114.24870000000001,0.5137,0.000158365,0.032130000000000006,0.1517,40
Miguel Castro,0.7112,0.4021,0.7674000000000001,96.9984,0.745,0.17676498799999998,0.03813,0.13085,38
Frederick Loewe,0.39139999999999997,0.30440000000000006,0.48222000000000004,111.58430000000001,0.8297000000000001,0.29262045,0.09920999999999999,0.33619999999999994,33
Jan Jelinek,0.5866,0.33209999999999995,0.25456999999999996,132.49720000000002,0.47348,0.8525,0.1065,0.11667000000000001,30
Takuro Yoshida,0.5544,0.7019,0.7987,133.2457,0.24218,0.000191268,0.03326,0.17024,41
Teo No Beat,0.7946,0.6260000000000001,0.5511,137.3478,0.200837,0.08732773,0.20085000000000003,0.11777,33
Iván Fischer,0.28700000000000003,0.125006,0.21009000000000003,97.37170000000002,0.8754000000000002,0.6446,0.04355,0.19001000000000004,40
Malina Moye,0.6687,0.5828,0.41929999999999995,96.26449999999998,0.128585,0.142936079,0.12625,0.20118999999999998,24
kurffew,0.4568999999999999,0.7779,0.475,126.03089999999997,0.0173296,0.6717099999999999,0.06925,0.22766000000000003,51
Kevin Stahl,0.2956,0.21888100000000002,0.1336,105.4537,0.8734999999999999,0.8601000000000001,0.07353000000000001,0.17297,26
Pretty Ricky,0.7104999999999999,0.5857,0.45050000000000007,111.70949999999998,0.07464699999999999,0.0,0.10711,0.13199,55
